Recompte,Edats,Gènere,Color
525,0 - 9,Dones,#CF494A
561,10 - 19,Dones,#CF494A
541,20 - 29,Dones,#CF494A
856,30 - 39,Dones,#CF494A
881,40 - 49,Dones,#CF494A
821,50 - 59,Dones,#CF494A
704,60 - 69,Dones,#CF494A
537,70 - 79,Dones,#CF494A
427,80 - 89,Dones,#CF494A
90,90 - 99,Dones,#CF494A
0,100 - 109,Dones,#CF494A
562,0 - 9,Homes,#335271
646,10 - 19,Homes,#335271
570,20 - 29,Homes,#335271
893,30 - 39,Homes,#335271
1019,40 - 49,Homes,#335271
874,50 - 59,Homes,#335271
631,60 - 69,Homes,#335271
511,70 - 79,Homes,#335271
296,80 - 89,Homes,#335271
48,90 - 99,Homes,#335271
2,100 - 109,Homes,#335271
