Recompte,Edats,Gènere,Color
552,0 - 9,Dones,#CF494A
511,10 - 19,Dones,#CF494A
613,20 - 29,Dones,#CF494A
940,30 - 39,Dones,#CF494A
831,40 - 49,Dones,#CF494A
790,50 - 59,Dones,#CF494A
700,60 - 69,Dones,#CF494A
530,70 - 79,Dones,#CF494A
424,80 - 89,Dones,#CF494A
71,90 - 99,Dones,#CF494A
3,100 - 109,Dones,#CF494A
601,0 - 9,Homes,#335271
625,10 - 19,Homes,#335271
638,20 - 29,Homes,#335271
1007,30 - 39,Homes,#335271
949,40 - 49,Homes,#335271
820,50 - 59,Homes,#335271
631,60 - 69,Homes,#335271
500,70 - 79,Homes,#335271
295,80 - 89,Homes,#335271
46,90 - 99,Homes,#335271
1,100 - 109,Homes,#335271
