Branca,Estudiants,Color
Arts i Humanitats,697,#6A1A32
Ciències Socials i Jurídiques,5887,#445BA6
Ciències,1063,#D9A560
Ciències de la Salut,1885,#5D6770
Enginyeria i Arquitectura,1767,#CC6D4E
