Acrònim,Partit,Vots,Percentatge,color,image
DiL,Democràcia i Llibertat,938,17.64%,#242660,https://image.ibb.co/cwdPCy/DiL.png
PSC,Partit Socialista de Catalunya,1096,20.62%,#CC3B27,https://image.ibb.co/i3vRQJ/PSC.png
ERC,Esquerra Republicana de Catalunya,1076,20.24%,#FBBA45,https://image.ibb.co/gKkRQJ/ERC.png
PP,Partit Popular,548,10.31%,#3593C1,https://image.ibb.co/mOmBsy/PP.jpg
ECP,En Comú Podem,1118,21.03%,#97336F,https://image.ibb.co/nET2zd/ECP.png
C's,Ciutadans,253,4.76%,#E74715,https://image.ibb.co/gGbcXy/Cs.png
Altres,Altres,112,2.11%,lightgrey,https://image.ibb.co/h7AKed/Altres.png
Nuls,Nuls,94,1.77%,#d6d4d4,https://image.ibb.co/f2AKed/Nuls.png
Blanc,Blanc,81,1.52%,#d6d6d6,https://image.ibb.co/hhhXzd/Blanc.png
