Branca,Estudiants,Color
Arts i Humanitats,1187,#E76F51
Ciències Socials i Jurídiques,6879,#264653
Ciències,968,#E9C46A
Ciències de la Salut,940,#2A9D8F
Enginyeria i Arquitectura,1220,#F4A261
