Acrònim,Universitat,Recursos,Color
UCO,Universidad de Córdoba,0.96,#6EAADD
UAH,Universidad de Alcalá de Henares,0.77,#6EAADD
URV,Universitat Rovira i Virgili,1.5,#6EAADD
UJI,Universitat Jaume I,0.94,#6EAADD
UdG,Universitat de Girona,1.21,#6EAADD
UdL,Universitat de Lleida,0.96,#6EAADD
UVIGO,Universidad de Vigo,0.85,#6EAADD
UIB,Universitat de les Illes Balears,1.15,#6EAADD
