Branca,Estudiants,Color
Arts i Humanitats,1525,#6A1A32
Ciències Socials i Jurídiques,7233,#273271
Ciències,1152,#D9A560
Ciències de la Salut,230,#5D6770
Enginyeria i Arquitectura,4525,#CC6D4E
