Branca,Estudiants,Color
Arts i Humanitats,1525,#E76F51
Ciències Socials i Jurídiques,7233,#264653
Ciències,1152,#E9C46A
Ciències de la Salut,230,#2A9D8F
Enginyeria i Arquitectura,4525,#F4A261
