Recompte,Edats,Gènere,Color
530,0 - 9,Dones,#CF494A
541,10 - 19,Dones,#CF494A
560,20 - 29,Dones,#CF494A
883,30 - 39,Dones,#CF494A
876,40 - 49,Dones,#CF494A
800,50 - 59,Dones,#CF494A
710,60 - 69,Dones,#CF494A
527,70 - 79,Dones,#CF494A
423,80 - 89,Dones,#CF494A
86,90 - 99,Dones,#CF494A
1,100 - 109,Dones,#CF494A
575,0 - 9,Homes,#335271
629,10 - 19,Homes,#335271
574,20 - 29,Homes,#335271
952,30 - 39,Homes,#335271
990,40 - 49,Homes,#335271
848,50 - 59,Homes,#335271
621,60 - 69,Homes,#335271
498,70 - 79,Homes,#335271
301,80 - 89,Homes,#335271
51,90 - 99,Homes,#335271
1,100 - 109,Homes,#335271
