Branca,Estudiants,Color
Arts i Humanitats,1162,#E76F51
Ciències Socials i Jurídiques,5131,#264653
Ciències,1650,#E9C46A
Ciències de la Salut,2541,#2A9D8F
Enginyeria i Arquitectura,2879,#F4A261
