Recompte,Edats,Gènere,Color
585,0 - 9,Dones,#138AB1
501,10 - 19,Dones,#138AB1
647,20 - 29,Dones,#138AB1
954,30 - 39,Dones,#138AB1
834,40 - 49,Dones,#138AB1
793,50 - 59,Dones,#138AB1
693,60 - 69,Dones,#138AB1
516,70 - 79,Dones,#138AB1
441,80 - 89,Dones,#138AB1
64,90 - 99,Dones,#138AB1
1,100 - 109,Dones,#138AB1
613,0 - 9,Homes,#EF601E
609,10 - 19,Homes,#EF601E
677,20 - 29,Homes,#EF601E
1012,30 - 39,Homes,#EF601E
918,40 - 49,Homes,#EF601E
799,50 - 59,Homes,#EF601E
639,60 - 69,Homes,#EF601E
488,70 - 79,Homes,#EF601E
300,80 - 89,Homes,#EF601E
43,90 - 99,Homes,#EF601E
0,100 - 109,Homes,#EF601E
