Branca,Estudiants,Color
Arts i Humanitats,1025,#E76F51
Ciències Socials i Jurídiques,7358,#264653
Ciències,351,#E9C46A
Ciències de la Salut,618,#2A9D8F
Enginyeria i Arquitectura,2444,#F4A261
