Branca,Estudiants,Color
Arts i Humanitats,1660,#E76F51
Ciències Socials i Jurídiques,5834,#264653
Ciències,1904,#E9C46A
Ciències de la Salut,2306,#2A9D8F
Enginyeria i Arquitectura,2597,#F4A261
