Branca,Estudiants,Color
Arts i Humanitats,408,#6A1A32
Ciències Socials i Jurídiques,3818,#273271
Ciències,507,#D9A560
Ciències de la Salut,1714,#5D6770
Enginyeria i Arquitectura,1197,#CC6D4E
